time,temp,setpoint,control
815,29.9973,25000,1
816,29.9973,25000,1
817,29.9973,25000,1
818,29.9973,25000,1
819,29.9974,25000,1
820,29.9974,25000,1
821,29.9974,25000,1
822,29.9974,25000,1
823,29.9975,25000,1
824,29.9975,25000,1
825,29.9975,25000,1
826,29.9975,25000,1
827,29.9976,25000,1
828,29.9976,25000,1
829,29.9976,25000,1
830,29.9976,25000,1
831,29.9977,25000,1
832,29.9977,25000,1
833,29.9977,25000,1
834,29.9977,25000,1
835,29.9978,25000,1
836,29.9978,25000,1
837,29.9978,25000,1
838,29.9978,25000,1
839,29.9978,25000,1
840,29.9979,25000,1
841,29.9979,25000,1
842,29.9979,25000,1
843,29.9979,25000,1
844,29.998,25000,1
845,29.998,25000,1
846,29.998,25000,1
847,29.998,25000,1
848,29.998,25000,1
849,29.9981,25000,1
850,29.9981,25000,1
851,29.9981,25000,1
852,29.9981,25000,1
853,29.9981,25000,1
854,29.9981,25000,1
855,29.9982,25000,1
856,29.9982,25000,1
857,29.9982,25000,1
858,29.9982,25000,1
859,29.9982,25000,1
860,29.9983,25000,1
861,29.9983,25000,1
862,29.9983,25000,1
863,29.9983,25000,1
864,29.9983,25000,1
865,29.9983,25000,1
866,29.9984,25000,1
867,29.9984,25000,1
868,29.9984,25000,1
869,29.9984,25000,1
870,29.9984,25000,1
871,29.9984,25000,1
872,29.9985,25000,1
873,29.9985,25000,1
874,29.9985,25000,1
875,29.9985,25000,1
876,29.9985,25000,1
877,29.9985,25000,1
878,29.9985,25000,1
879,29.9986,25000,1
880,29.9986,25000,1
881,29.9986,25000,1
882,29.9986,25000,1
883,29.9986,25000,1
884,29.9986,25000,1
885,29.9986,25000,1
886,29.9987,25000,1
887,29.9987,25000,1
888,29.9987,25000,1
889,29.9987,25000,1
890,29.9987,25000,1
891,29.9987,25000,1
892,29.9987,25000,1
893,29.9987,25000,1
894,29.9988,25000,1
895,29.9988,25000,1
896,29.9988,25000,1
897,29.9988,25000,1
898,29.9988,25000,1
899,29.9988,25000,1
900,29.9988,25000,1
901,29.9988,25000,1
902,29.9989,25000,1
903,29.9989,25000,1
904,29.9989,25000,1
